geo_entity_id,geo_name,lon,lat
167,Poland,17.00050926,54.75917749
168,Portugal,-10.55995621,38.3701992
169,Prince Edward Isl. (South Africa),37.77826176,-46.79110399
170,Puerto Rico (USA),-66.74863475,18.39129124
171,Qatar,51.78770927,25.79831457
172,Reunion (France),55.03737187,-21.51156305
173,Romania,29.98970244,44.33732628
174,Russian Federation,0,62.50412832
243,Saba and Saint Eustaius (Netherlands),-63.39417921,17.31402659
175,Saint Helena (UK),-5.711641373,-15.96660932
176,Saint Kitts & Nevis,-63.00160631,17.00164892
177,Saint Lucia,-61.43186875,13.75728777
178,Saint Pierre & Miquelon (France),-56.50005553,45.39055556
179,Saint Vincent & the Grenadines,-61.83207092,13.07205708
180,Samoa,-172.522189,-13.39161611
181,Sao Tome & Principe,5.879645833,0.778961741
237,Sardinia (Italy),8.369104853,39.91000899
182,Saudi Arabia,43.02678862,22.83266738
183,Senegal,-18.32539177,12.71380498
184,Seychelles,51.41558208,-6.567984638
236,Sicily (Italy),13.19947339,37.40513564
185,Sierra Leone,-14.02764751,6.627338899
186,Singapore,103.8231583,1.303528563
244,Sint Maarten (Netherlands),-63.12222969,17.93536475
187,Slovenia,13.61082558,45.53930459
188,Solomon Isl.,164.080104,-10.13458316
189,Somalia,47.99379847,4.959223996
190,South Africa,24.93388708,-32.50359723
191,South Georgia & Sandwich Isl. (UK),-32.2292404,-56.64634595
245,South Orkney Islands (UK),-45.08269179,-60.65328072
192,Spain,-3.981182228,41.07108622
193,Sri Lanka,81.13032238,7.012664674
239,St Barthelemy (France),-62.66646007,17.97642358
240,St Martin,-63.1867441,18.03198796
194,St Paul & Amsterdam Isl. (France),77.53056176,-38.27405399
247,St Paul and St. Peter Archipelago (Brazil),-29.34310866,0.918889109
195,Sudan,37.6798782,20.67814905
196,Suriname,-54.8761795,7.426373156
197,Svalbard Isl. (Norway),17.3280625,78.16858152
198,Sweden,17.10987547,60.4380996
199,Syrian Arab Republic,35.46798984,35.33056762
200,Taiwan,117.8149919,17.23348985
201,Tanzania,41.03112488,-7.575694
202,Thailand,99.2915024,9.782780021
203,Timor Leste,126.2668814,-9.752268406
204,Togo,1.80459257,4.573613376
205,Tokelau (New Zealand),-171.9233514,-8.752334795
206,Tonga,-175.1777033,-19.90863771
207,Trindade & Martin Vaz Isl. (Brazil),-29.09263303,-20.49710017
208,Trinidad & Tobago,-59.59874005,11.09329274
209,Tristan da Cunha Isl. (UK),-11.19718824,-38.99135485
210,Tromelin Isl. (France),54.78437709,-15.65365119
211,Tunisia,10.75027778,35.78145933
212,Turkey,33.49455725,38.82809649
213,Turks & Caicos Isl. (UK),-70.75649328,22.81849945
214,Tuvalu,0,-8.618644035
215,Ukraine,33.96591782,45.1558752
216,United Arab Emirates,54.31637272,25.18597704
217,United Kingdom,-5.748526956,55.66144296
0,Unknown filler,,
218,Uruguay,-54.27250565,-35.38577002
220,US Virgin Isl.,-64.9343718,17.65437925
221,USA,-97.46727444,36.41154204
222,Vanuatu,168.7921041,-19.00930582
223,Venezuela,-65.4736785,12.55288585
224,Viet Nam,109.8528187,13.4938247
225,Virgin Isl. (UK),-64.54985301,20.02305102
226,Wake Isl. (USA),166.6290404,19.34453137
227,Wallis & Futuna Isl. (France),0,-12.89220399
229,Yemen,49.51927207,12.80438768
NA,Fishing Country Unknown,4.068769033,11.63720035
